ad.id,ad.image_urls,ad.last_shown_date,ad.reach.unique_users_seen_x,ad.status,ad.status_statement,ad.videos,ad.first_shown_date,advertiser.business_id,advertiser.business_name,advertiser.paid_for_by,ad_group.targeting_info.interest,ad_group.targeting_info.number_of_users_targeted,ad_group.targeting_info.video_interactions,ad_group.targeting_info.age.35-44,ad_group.targeting_info.age.45-54,ad_group.targeting_info.age.55+,ad_group.targeting_info.age.13-17,ad_group.targeting_info.age.18-24,ad_group.targeting_info.age.25-34,ad_group.targeting_info.audience_targeting,ad_group.targeting_info.country,ad_group.targeting_info.creator_interactions,ad_group.targeting_info.gender.female,ad_group.targeting_info.gender.male,ad_group.targeting_info.gender.other_genders,ad.reach.unique_users_seen_y,ad.reach.unique_users_seen_by_country.DK,ad.reach.unique_users_seen_by_country.FI,ad.reach.unique_users_seen_by_country.IT,ad.reach.unique_users_seen_by_country.NL,ad.reach.unique_users_seen_by_country.CZ,ad.reach.unique_users_seen_by_country.BE,ad.reach.unique_users_seen_by_country.ES,ad.reach.unique_users_seen_by_country.IE,ad.reach.unique_users_seen_by_country.SE,ad.reach.unique_users_seen_by_country.AT,ad.reach.unique_users_seen_by_country.NO,ad.reach.unique_users_seen_by_country.DE,ad.reach.unique_users_seen_by_country.GR,ad.reach.unique_users_seen_by_country.PT,ad.reach.unique_users_seen_by_country.RO,ad.reach.unique_users_seen_by_country.CH,ad.reach.unique_users_seen_by_country.GB,ad.reach.unique_users_seen_by_country.FR,ad.reach.unique_users_seen_by_country.HU,ad.reach.unique_users_seen_by_country.PL
1776307088392242,['https://p21-ad-sg.ibyteimg.com/origin/tos-alisg-p-0051c001-sg/oEu8nbPfGDLgQip2yDJA8CV4IrbUAheUfDgLw1'],20231117,10M-20M,active,,"[{'url': 'https://v77.tiktokcdn.com/845faa77aa075ea6615c80ae7fe92ffb/655f6126/video/tos/alisg/tos-alisg-ve-0051c001-sg/oUIIKNBkrf4pLfP8DKbzjgQDQbBtAv8qcEHlhF/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=2754&bt=1377&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=M2QzOmg5NGdpZzQ3OzY3ZkBpM3VqPDY6ZnFkbTMzODYzNEAxYV41Li81Xy0xXzNiMF42YSMycl9ycjRvX3BgLS1kMC1zcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13', 'cover_image_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0051c001-sg/oEu8nbPfGDLgQip2yDJA8CV4IrbUAheUfDgLw1~tplv-noop.image?x-expires=1700749606&x-signature=fubskronNxLHuq9AY6LOyCRyvmM%3D'}]",20230906,6.979881690004981e+18,International Federation of Red Cross and Red Crescent Societies,SOCIAL SOCIAL GmbH,,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,10M-20M,38K,478K,8.0M,165K,1.3M,490K,6.9M,121K,60K,166K,,,,,,,,,,
1753834789213233,['https://p21-ad-sg.ibyteimg.com/origin/tos-maliva-v-2c3654-us/486619c74ee8418fba7fa56e4ca774ad'],20230417,10M-20M,active,,"[{'cover_image_url': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-v-2c3654-us/486619c74ee8418fba7fa56e4ca774ad~tplv-noop.image?x-expires=1700749595&x-signature=2Z2LzRth4B43BhMZRWX3NMlCLbg%3D', 'url': 'https://v77.tiktokcdn.com/aaee7e821e426b886f029c4534a21d2d/655f611b/video/tos/maliva/tos-maliva-v-2c3654-us/oskBSNsbfKpj8BEvQdTk1m5nQDdRJ2gflHrcIa/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=4390&bt=2195&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=OjNlOmc6Njg5OTQ0Njs7Z0BpM3ZocWU6ZnU3aDQzN2c0M0AyLzNgL18yNTExMzZgL2JgYSNtYXBwcjQwYmtgLS1kLjZzcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20230101,6.87646054430435e+18,"BEIJING JIANG YU INTERACTIVE TECHNOLOGY CO., LTD.",Mobisummer-Game,,200.1M-244.6M,,True,True,True,False,True,True,No,"['NL', 'CZ', 'IT', 'GR', 'FI', 'RO', 'DK', 'IE', 'GB', 'CH', 'DE', 'NO', 'PT', 'SE', 'BE', 'AT']",,True,True,True,10M-20M,448K,259K,1.5M,1.1M,384K,657K,,428K,851K,513K,561K,2.7M,383K,427K,851K,522K,4.8M,,,
1763792178958354,['https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/o0QnEGKfDZwCQFegkQHAvjobzwKNBCDQCIBSic~tplv-xg5h56rn01-webp-75:540:960.webp?from=3963178307&x-expires=1732263961&x-signature=FkHCXHwcpNUFZPz76wQl7qpLrYA%3D'],20230428,10M-20M,active,,"[{'cover_image_url': 'https://p16-sign-sg.tiktokcdn.com/v0201/o0QnEGKfDZwCQFegkQHAvjobzwKNBCDQCIBSic~tplv-noop.image?x-expires=1700749589&x-signature=71itwjunOJvyiCfkVRxdDL9CqYQ%3D', 'url': 'https://v77.tiktokcdn.com/340798250cab7e5cb3c32faab836324e/655f6115/video/tos/alisg/tos-alisg-v-0000/o4bNQDwzEKC1KJiFHmBBIevGggeMBkAoQcnQ5D/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=2892&bt=1446&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=Mzg2aTg0ZTozOzZkNTs1ZUBpMzZ4djg6ZjM7azMzODYzNEBeMS4tMDIzXl4xMWNjX15eYSNlcF5gcjRnbC5gLS1kMC1zcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20230421,7.209005529262408e+18,Ampsuite,Music and Entertainment Rights Licensing Independent Network Ltd,,27.8M-34.0M,Entertainment,True,True,True,False,False,True,No,"['ES', 'GB', 'DE', 'IT']",Talent,True,True,True,10M-20M,,,4.4M,,,,4.5M,,,,,3.6M,,,,,3.1M,,,
1776997064735793,['https://p21-ad-sg.ibyteimg.com/origin/tos-alisg-p-0051c001-sg/oMty8om8B7zgbCchGtfoaEQEAuZoIwAJVWBo6A'],20231113,10M-20M,active,,"[{'cover_image_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0051c001-sg/cd547792139648b8a5185c9b009fe6b1_1697460696~tplv-noop.image?x-expires=1700749587&x-signature=uUwkUqaFPEhL%2BkkWjn1vBtuR6Mw%3D', 'url': 'https://v77.tiktokcdn.com/ee86bbf33683c50e8408dd937bea7ffb/655f6113/video/tos/alisg/tos-alisg-ve-0051c001-sg/okQBAoQAQr3ne1TOgLhNJ1bQDtBeFaDlgQcIQG/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=3582&bt=1791&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=ZTg4N2c3OzQzOWRpOTVkOEBpM3BoZDw6ZmdlbjMzODYzNEAvLl82XmJhNl4xLTAvYy5hYSNrZDBxcjRfNS5gLS1kMC1zcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20230914,6.979881690004981e+18,International Federation of Red Cross and Red Crescent Societies,SOCIAL SOCIAL GmbH,,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,10M-20M,37K,410K,6.8M,166K,1.2M,440K,5.8M,102K,56K,153K,,,,,,,,,,
1780531640408097,['https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/5f36b194c853ca2351d2cffc2f03635f~tplv-xg5h56rn01-webp-75:540:960.webp?from=3963178307&x-expires=1732263961&x-signature=616qpUlH5ETFXaey%2BJ%2FlZKUJZvM%3D'],20231121,10M-20M,active,,"[{'cover_image_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0051c001-sg/oQI2QDBeNJRNAJDlaF0JfJs9aR5DOEygQriIBh~tplv-noop.image?x-expires=1700749599&x-signature=zdPHD6GtBLxhmzIFdioBwu1Xfv0%3D', 'url': 'https://v77.tiktokcdn.com/16f0c4fc7f31d0a7abe6401a20639849/655f611f/video/tos/alisg/tos-alisg-ve-0051c001-sg/o8iDeNQMaF1tABQGol5ONRgNREIvfBkDE2JJa0/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=5644&bt=2822&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=ZGU6Mzw7ZjQ6ODczOjtpZkBpajc2cXY5cm01bjMzODYzNEAuLzAzNi82XjQxNWAvMjVjYSNqX2lqMmRrNW9gLS1kMC1zcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20231023,6.888908333776897e+18,"TOP GAMES US, INC.",Madhouse,,,,True,True,True,False,True,True,No,"['IT', 'GR', 'AT', 'HU', 'IE', 'PT', 'CZ', 'FI', 'CH', 'DK', 'NL', 'RO', 'SE', 'BE', 'FR', 'NO', 'ES']",,True,True,True,10M-20M,76K,228K,2.9M,555K,343K,441K,2.4M,181K,192K,320K,125K,,903K,475K,1.8M,255K,,1.9M,668K,
1777368392966177,['https://p16-csp-adlib-site-sign-sg.ibyteimg.com/v0201/fd3f649267c52b499e092f094346191f~tplv-xg5h56rn01-webp-75:540:960.webp?from=3963178307&x-expires=1732263961&x-signature=BZgGT4ry7ZHvbqZ2Ty0z1qUL1rM%3D'],20231013,10M-20M,active,,"[{'url': 'https://v77.tiktokcdn.com/e966dc3ebb4d4be57e984680554f707b/655f6117/video/tos/alisg/tos-alisg-ve-0051c001-sg/oYCHEFQTIhjYrILBewlDDzmBAEoTQRGtgAlf0N/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=5940&bt=2970&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=PDUzM2g7ZzxmNmc1Z2Y5O0BpajY0bjg6ZjZ2bjMzODYzNEAzXzQvMGBfXzYxL2IyYy02YSM2MG9mcjRvMS5gLS1kMC1zcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13', 'cover_image_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0051c001-sg/oYEazNBlHADwEfRLFTAzlgBDQjBtAHlnYI8The~tplv-noop.image?x-expires=1700749591&x-signature=cGzEH6drNXwUqB3LXJHYvJ6SjFo%3D'}]",20230918,6.888908333776897e+18,"TOP GAMES US, INC.",Madhouse,,,,True,True,True,False,True,True,No,"['CH', 'NL', 'FR', 'IT', 'CZ', 'RO', 'GR', 'DK', 'ES', 'IE', 'BE', 'PT', 'FI', 'NO', 'SE', 'HU', 'AT']",,True,True,True,10M-20M,79K,228K,2.9M,548K,380K,346K,2.5M,178K,196K,306K,126K,,818K,510K,1.9M,220K,,1.4M,738K,
1776757321591842,,20231105,10M-20M,active,,"[{'cover_image_url': 'https://p16-vod-sign-useast2a.ibyteimg.com/tos-useast2a-p-0037-euttp/ff46e3eb9aa64ee2b8f7b71ef7af1214_1694262408~tplv-noop.image?x-expires=1700749567&x-signature=snoN6aCMH1YClPYkLknnEGq4Zps%3D', 'url': 'https://v77.tiktokcdn.com/49a5081a2776c7b50d5a8955cbdd9fe3/655f60ff/video/tos/useast2a/tos-useast2a-ve-0068-euttp/ow78IkCAhlhjAfLLuIPIwQDZIn4fBhzGEEItR2/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=1512&bt=756&bti=ODM6N2YuLjY6&cs=0&ds=6&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=N2VpZzYzMzU4Zzw2OmU3O0BpanBoMzk6Zm05bTMzZjczM0BeNl80YWJeNTAxNi4zYmE2YSNkcWstcjRvNXJgLS1kMWNzcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20230913,6.883219182050084e+18,Mondelez Deutschland Services GmbH & Co. KG,Spark Foundry Germany GmbH,,,,True,True,True,False,True,True,No,['DE'],,True,True,True,10M-20M,,,,,,,,,,,,13.5M,,,,,,,,
1767336884647969,,20230723,10M-20M,active,,"[{'cover_image_url': 'https://p16-vod-sign-useast2a.ibyteimg.com/tos-useast2a-p-0037-aiso/o4RBefDXAMcNpPb76kHyAQPuJiEEIxUqzgDThQ~tplv-noop.image?x-expires=1700749572&x-signature=fHn0psPxf2yt9UXA0FISnw%2BSqc8%3D', 'url': 'https://v77.tiktokcdn.com/527be6a6238bd54986ea0213e4407d52/655f6104/video/tos/useast2a/tos-useast2a-pve-0037c001-aiso/ogRBefDvQMcNpPb76kI9AQPuOzIEEBUqzgDThQ/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=2608&bt=1304&bti=ODM6N2YuLjY6&cs=0&ds=6&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=ZmQ3ZmZpaGVkZTg2aWY2NEBpM208bWk6ZmgzazMzZjczM0A2YzFhNDYyXzExYzI0NTFhYSM1NTJxcjQwcmtgLS1kMWNzcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20230605,6.876450629510759e+18,Booking.com B.V.,Booking.com B.V.,Travel,13.5M-16.5M,,True,True,True,False,True,True,No,['FR'],,True,True,True,10M-20M,,,,,,,,,,,,,,,,,,15.7M,,
1754736720243826,['https://p19-csp-adlib-site-sign-sg.ibyteimg.com/v0201/og5DsbseKg1NnPkQCDcDAxBQxBveIqb0jbdhvt~tplv-xg5h56rn01-webp-75:540:960.webp?from=3963178307&x-expires=1732263961&x-signature=mcpBBYYDskZ9hAHgkH7Bxah%2FeDg%3D'],20230627,10M-20M,active,,"[{'cover_image_url': 'https://p16-sign-sg.tiktokcdn.com/v0201/og5DsbseKg1NnPkQCDcDAxBQxBveIqb0jbdhvt~tplv-noop.image?x-expires=1700749584&x-signature=SAzR3KhopB7ixEFUJewh6AHYSAU%3D', 'url': 'https://v77.tiktokcdn.com/ecf3c3ae74c7dbc76fc16f0705daf040/655f6110/video/tos/alisg/tos-alisg-v-0000/ocIzgbb0nBdjeKDDxeDxscQ7vBQohsKgcUNHdA/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=2904&bt=1452&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=aTQ0aWQ1OzU1aDM4PGY0N0BpM2c5aGg6ZnZmaDMzODYzNEBeNC4wYmFeNTMxLjNgLTUyYSNvXmQ1cjRfYnNgLS1kMC1zcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20230111,6.899064460867012e+18,Metacore Games Oy,Metacore Games Oy,,180.2M-220.3M,,True,True,True,False,True,True,No,"['PL', 'DE', 'BE', 'FI', 'IE', 'ES', 'NL', 'NO', 'SE', 'AT', 'HU', 'GB', 'CH', 'IT', 'FR']",,True,True,True,10M-20M,,196K,1.5M,730K,,430K,1.4M,267K,496K,302K,287K,1.4M,,,,288K,2.2M,1.7M,491K,1.4M
1780031997939730,['https://p21-ad-sg.ibyteimg.com/origin/tos-alisg-p-0051c001-sg/ocEuICDIb3AXAZzKifkNtu0TueCGehYAgRb8CW'],20231122,10M-20M,active,,"[{'cover_image_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0051c001-sg/ocEuICDIb3AXAZzKifkNtu0TueCGehYAgRb8CW~tplv-noop.image?x-expires=1700749584&x-signature=RZsa%2F3KQVVCzd4UTYJEnpBv5svo%3D', 'url': 'https://v77.tiktokcdn.com/b0250bffdd753da21f360cd6f01fcb39/655f6110/video/tos/alisg/tos-alisg-ve-0051c001-sg/owCABuehbeIuXI8KAiQEb3TfmtIUp2GgDzuCAR/?a=475769&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&cv=1&br=5512&bt=2756&bti=ODM6N2YuLjY6&cs=0&ds=3&ft=d2A~l-Inz7TiAgPZiyq8Z&mime_type=video_mp4&qs=0&rc=OmY0NTszNjY6Zzs6ZmU5NkBpM2g0NzU6ZmlnbjMzODYzNEAzXmMyYF4vXmAxMGM2LjM2YSNrMGxlcjRfc2tgLS1kMC1zcw%3D%3D&l=20231123082600B09EE23DF7327923CA39&btag=e00088000&cc=13'}]",20231017,6.979881690004981e+18,International Federation of Red Cross and Red Crescent Societies,SOCIAL SOCIAL GmbH,,,,True,True,True,True,True,True,No,"['BE', 'AT', 'DK', 'CZ', 'IE', 'IT', 'FI', 'ES', 'SE', 'NL']",,True,True,True,10M-20M,36K,396K,7.2M,2K,0-1K,16K,5.6M,58K,55K,101K,,,,,,,,,,
